# RSS Beamsplitter								
#								
# V5: ZEMAX y_0			poldist_files.xlsx					
# distortion from impoldist adjustment to ZEMAX								
#   degrees in collimated space								
#								
# rot (deg)	yoff	xoff						
0.1345	0.0000	-0.0693						
# E/O ratios	EOy_0	EOy_Y	EOy_YY	EOy_XX	EOx_0	EOx_X	EOx_XY	EOx_XXX
	-1.007214	1.01454	-1.3139	-0.4575	-1.00000	1.00005	-1.0183	0.9977
#								
#	1.02350	yshift adjustment						
# Ang	deg		x1000	x1000			x1000	x1000
# Wavel	y_0	y_Y	y_YY	y_XX	x_0	x_X	x_XY	x_XXX
3000	-3.03676	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3100	-2.98345	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3200	-2.93674	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3300	-2.89554	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3400	-2.85896	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3500	-2.82631	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3600	-2.79701	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
3800	-2.74669	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
4000	-2.70512	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
4200	-2.67028	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
4600	-2.61535	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
5000	-2.57413	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
5500	-2.53517	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
6000	-2.50543	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
6500	-2.48184	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
7000	-2.46247	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
8000	-2.43184	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
9000	-2.40761	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
10000	-2.38679	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212
10500	-2.37710	0.99387	-0.9122	-0.4529	0.00000	0.99828	-0.8057	0.0212

